Name,RA,DEC
Algenib,0.22059721,+15.18361593
Menkar,3.03799418,+04.08992539
Aldebaran,4.59866679,+16.50976164
Rigel,5.24229756,-08.20163919
Bellatrix,5.41885227,+06.34973451
Alnilam,5.60355904,-01.20191725
Alnitak,5.67931244,-01.94257841
Saiph,5.79594109,-09.66960186
Betelgeuse,5.91952477,+07.40703634
Alhena,6.62852842,+16.39941482
Procyon,7.65514946,+05.22750767
Alphard,9.45979217,-08.65868335
Regulus,10.13957205,+11.96719513
Algieba,10.3328227,+19.84186032
Denebola,11.81774398,+14.57233687
Vindemiatrix,13.03632237,+10.95910186
Arcturus,14.2612076,+19.18726997
Unukalhai,15.7377766,+06.42551971
Rasalgethi,17.24412845,+14.39025314
Rasalhague,17.58222354,+12.56057584
Tarazed,19.77099171,+10.61326869
Altair,19.84630057,+08.86738491
Enif,21.73642787,+09.87500791
Markab,23.07933801,+15.20536786
